#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNanos,AvgIterationNanos
Slice,100,4846,348,1313,443
Slice,1000,16657,687,8766,2033
Slice,10000,68243,2870,25537,6813
Slice,100000,2071058,282756,329640,97785
Slice,1000000,18215171,1088383,2408928,1004202
ArrayList,100,274,226,806,2411
ArrayList,1000,457,202,7203,4422
ArrayList,10000,3059,20386,67475,78509
ArrayList,100000,80687,199180,642602,2473642
ArrayList,1000000,1168343,1027320,6509081,26962132
TreeSet,100,767,26,3,20182
TreeSet,1000,723,81,38,158536
TreeSet,10000,1047,1720,395,564864
TreeSet,100000,1396,1025,753,15903737
TreeSet,1000000,2749,1639,1279,232736903
Map,100,255,0,7,1915
Map,1000,122,13,11,19298
Map,10000,132,136,201,204789
Map,100000,200,230,200,1789811
Map,1000000,207,274,275,20543914
